年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,324,45,48.8,38.25,42.2,42.3,1.35,3.3,1.09,1.1,0,1.1,2.88,2.25,2.6,101,0,101
2018,324,47,53.2,37.7,40.85,46.3,-11.65,-22.2,1.71,1.8,0,1.8,4.77,3.38,3.89,105,0,105
2017,324,47,67.1,50.4,52.5,60.7,-8.3,-13.7,4.09,3,0,3,5.95,4.47,4.94,73.3,0,73.3
2016,324,62,72.9,48.55,60.8,63.3,7.5,14.1,3.94,3,0,3,6.18,4.12,4.74,76.1,0,76.1
2015,324,60,78.1,48.8,53.3,64.5,-21.1,-28.4,4.94,3,0,3,6.15,3.84,4.65,60.7,0,60.7
2014,324,60,91,65.1,74.4,75.9,-3.6,-4.6,5.72,3,0,3,4.61,3.3,3.95,52.4,0,52.4
2013,324,60,103,72.7,78,83.9,2.6,3.4,5.64,1.5,1.5,3,4.13,2.91,3.57,26.6,26.6,53.2
2012,282,60,81.8,64.5,75.4,72.7,9.9,15.1,3.45,1.4,1.4,2.8,4.34,3.42,3.85,40.6,40.6,81.2
2011,247,47,90.8,58.2,65.5,70.3,0.5,0.8,5.01,2,2,4,6.87,4.41,5.69,39.9,39.9,79.8
2010,206,60,84.6,57.7,65,67.6,-8.5,-11.6,8.15,2,2.5,4.5,7.8,5.32,6.66,24.5,30.7,55.2
2009,165,68,76.5,22.5,73.5,53.3,45.3,161,2.37,1,1,2,8.89,2.61,3.75,42.2,42.2,84.4
2008,150,45,64,26.25,28.2,45.5,-24.8,-46.8,4.27,1.2,1.5,2.7,10.3,4.22,5.93,28.1,35.1,63.2
2007,130,51,75.4,28.5,53,46.3,20.75,64.3,1.61,0.75,0.7,1.45,5.09,1.92,3.13,46.6,43.5,90.1
2006,122,43,37.55,22.4,32.25,28.4,3.25,11.2,1.25,0.75,0.7,1.45,6.47,3.86,5.1,60,56,116
2005,114,43,40.8,21.15,29,32.9,-11.5,-28.4,2.18,1,0.85,1.85,8.75,4.53,5.62,45.9,39,84.9
2004,105,51,55,37.2,40.5,43.3,-2.8,-6.5,3.01,1,0.96,1.96,5.27,3.56,4.53,33.2,31.9,65.1
2003,95.7,53,50.5,37.7,43.3,44.7,1.8,4.3,3.19,0.85,0.8,1.65,4.38,3.27,3.69,26.6,25.1,51.7
2002,88.6,57,48.4,21.1,41.5,33.5,18.4,79.7,2.02,0.68,0.6,1.28,6.07,2.64,3.83,33.7,29.7,63.4
2001,83.6,51,26.2,15.3,23.1,20.8,1.8,8.5,1.72,0.6,0.65,1.25,8.17,4.77,6.01,34.9,37.8,72.7
2000,78.5,53,34.2,17.7,21.3,24.3,-5.5,-20.5,1.58,0.6,0.5,1.1,6.21,3.22,4.52,38,31.6,69.6
1999,74.8,51,41.1,26.1,26.8,33.2,-11.3,-29.7,1.68,0.2,1,1.2,4.6,2.92,3.62,11.9,59.5,71.4
1998,68,49,61,34.4,38.1,45.6,-8.7,-18.6,1.14,0,1.2,1.2,3.49,1.97,2.63,0,105,105
1997,60.7,45,75,37.4,46.8,50.5,4.1,9.6,1.38,0.2,1,1.2,3.21,1.6,2.38,14.5,72.5,87
1996,55.2,47,48.7,28.1,42.7,38,10.8,33.9,1.52,0.2,1,1.2,4.27,2.46,3.16,13.2,65.8,78.9
1995,50.2,51,43.3,26,31.9,32.3,-10.9,-25.5,1.88,0,1.9,1.9,7.31,4.39,5.89,0,101,101
1994,42.1,-,56.5,32,42.8,40.5,-10.7,-20,2.05,0,1.6,1.6,5,2.83,3.95,0,78.1,78.1
1993,36.3,-,55,33.29,53.5,41.7,11.8,28.3,1.89,0,1.5,1.5,4.51,2.73,3.6,0,79.4,79.4
1992,31.6,-,69.5,40.29,41.7,53.8,-11.3,-21.3,2.13,0,2,2,4.96,2.88,3.72,0,94,94
1991,26.3,-,63,28.6,53,48.2,16.1,43.6,2.03,1,0.8,1.8,6.29,2.86,3.73,49.3,39.5,88.8
1990,24.4,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,0,2.5,2.5,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,0.5,2.2,2.7,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,0.3,1.7,2,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,0.3,2.5,2.8,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,0.3,0,0.3,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,0.3,1,1.3,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
