年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,535,38,34.4,27,30.3,30.6,2.4,8.6,2.41,1.8,0,1.8,6.67,5.23,5.89,74.7,0,74.7
2018,535,40,37.4,23.85,27.9,29.6,1.1,4.1,1.61,1.2,0,1.2,5.03,3.21,4.05,74.5,0,74.5
2017,535,40,28.1,23.6,26.8,25.3,2.6,10.7,1.26,0.8,0,0.8,3.39,2.85,3.16,63.5,0,63.5
2016,535,43,28.5,21.9,24.2,24.3,-1.55,-6,1.61,1,0,1,4.57,3.51,4.12,62.1,0,62.1
2015,535,45,34.95,24.25,25.75,30.6,-5.65,-18,2.25,1.2,0.2,1.4,5.77,4.01,4.58,53.3,8.89,62.2
2014,525,45,35,29.4,31.4,31.8,-3,-8.7,1.5,1.3,0.2,1.5,5.1,4.29,4.72,86.7,13.3,100
2013,515,43,35.15,29.95,34.4,32.7,1.3,3.9,1.73,1.3,0.2,1.5,5.01,4.27,4.59,75.1,11.6,86.7
2012,504,47,38.55,28.1,33.1,33.1,-2.05,-5.8,2.26,1.7,0.3,2,7.12,5.19,6.05,75.2,13.3,88.5
2011,490,47,52.2,28.5,35.15,41.1,-14.25,-28.8,2.7,2,0.3,2.3,8.07,4.41,5.6,74.1,11.1,85.2
2010,475,53,52.2,29.55,49.4,38.7,9.4,23.5,1.74,1.3,0.2,1.5,5.08,2.87,3.88,74.7,11.5,86.2
2009,466,51,43.3,18.9,40,33.4,19,90.5,1.01,0.8,0.2,1,5.29,2.31,2.99,79.2,19.8,99
2008,457,43,57.9,15.35,21,37.1,-17.05,-44.8,2.54,1.8,0.2,2,13,3.45,5.39,70.9,7.87,78.7
2007,448,55,48.45,25.1,38.05,34.5,9.55,33.5,1.92,1.3,0.3,1.6,6.37,3.3,4.64,67.7,15.6,83.3
2006,435,55,30.7,20.55,28.5,25.1,6.45,29.3,2.04,1,0.6,1.6,7.79,5.21,6.38,49,29.4,78.4
2005,410,53,26.5,17.05,22.05,22.1,-3.45,-13.5,2.43,1,0.8,1.8,10.6,6.79,8.16,41.2,32.9,74.1
2004,380,49,27.2,15.8,25.5,21.4,8.8,52.7,1.17,0.5,0.7,1.2,7.57,4.39,5.57,42.6,59.6,102
2003,359,45,19.7,10.05,16.7,14.6,4.9,41.5,0.7,0.3,0.7,1,9.95,5.08,6.86,42.9,100,143
2002,336,38,18.5,9.05,11.8,13.1,-1.2,-9.2,0.23,0.2,0.5,0.7,7.73,3.78,5.33,87,217,304
2001,320,38,30.9,8.6,13,17.6,-10.4,-44.4,0.07,0.2,0.4,0.6,6.98,1.94,3.4,286,571,857
2000,308,40,85,21.7,23.4,45.3,-51.6,-68.8,1.16,0.3,1.2,1.5,6.91,1.76,3.31,25.9,103,129
1999,275,36,77,22.2,75,42.5,48.7,185,0.42,0.3,0.7,1,4.5,1.3,2.35,71.4,167,238
1998,246,32,40,19,26.3,28.1,-9.1,-25.7,1.38,0.3,1.2,1.5,7.89,3.75,5.34,21.7,87,109
1997,219,34,53,27.5,35.4,40.5,7.3,26,0.64,0.2,0.8,1,3.64,1.89,2.47,31.2,125,156
1996,189,30,33.2,22.4,28.1,27.9,2.2,8.5,1.53,0.3,0.9,1.2,5.36,3.61,4.31,19.6,58.8,78.4
1995,173,34,44.6,25,25.9,32.6,-18.6,-41.8,1.76,0.3,1.5,1.8,7.2,4.04,5.52,17.1,85.4,102
1994,150,-,48.2,31.7,44.5,38,6,15.6,0.83,0.4,0.8,1.2,3.79,2.49,3.16,48.1,96.3,144
1993,139,-,38.5,21.8,38.5,28.1,8.6,28.8,1.51,1,0.5,1.5,6.88,3.9,5.35,66.3,33.1,99.4
1992,133,-,43.5,27,29.9,35.6,-7.3,-19.6,1.91,1.2,0.8,2,7.41,4.6,5.62,62.7,41.8,105
1991,123,-,53.5,24.1,37.2,39.3,6,19.2,1.8,1,0.5,1.5,6.22,2.8,3.82,55.5,27.8,83.3
1990,117,-,-,-,-,-,-,-,-,1.8,1.8,3.6,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,2,2.5,4.5,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,1.5,3,4.5,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,1.1,2.2,3.3,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,0.7,0.97,1.67,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,0.7,2,2.7,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,0.4,1.8,2.2,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
