年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,336,62,48.9,33.55,47.7,42.4,13.75,40.5,3.54,2.8,0,2.8,8.35,5.73,6.6,79.1,0,79.1
2018,336,51,45.75,26.7,33.95,34.1,5.75,20.4,1.74,1.2,0,1.2,4.49,2.62,3.52,69,0,69
2017,336,43,32,25.5,28.2,27.7,1.85,7,1.26,0.9,0,0.9,3.53,2.81,3.24,71.4,0,71.4
2016,336,40,31.15,23,26.35,27.5,-1.05,-3.8,1.55,1.1,0,1.1,4.78,3.53,4,71,0,71
2015,336,38,39.85,26.85,27.4,35.3,-11.6,-29.7,2.98,2.2,0,2.2,8.19,5.52,6.23,73.8,0,73.8
2014,336,43,44.5,35.6,39,39.3,0.4,1,2.21,1.8,0.2,2,5.62,4.49,5.09,81.4,9.05,90.5
2013,330,40,40.3,34.85,38.6,37.4,1.25,3.3,1.93,1.7,0.2,1.9,5.45,4.71,5.08,88.1,10.4,98.4
2012,323,43,40.1,32.9,37.35,36.3,3.35,9.9,3.19,2.3,0.3,2.6,7.9,6.48,7.17,72.1,9.4,81.5
2011,314,51,48.3,28.25,34,35.7,1.75,5.4,2.5,1.9,0.2,2.1,7.43,4.35,5.88,76,8,84
2010,308,45,36.1,25.65,32.25,30.7,-2.35,-6.8,2.64,1.8,0.3,2.1,8.19,5.82,6.84,68.2,11.4,79.5
2009,299,53,39,23.05,34.6,33.5,6.15,21.6,2.52,1.8,0.3,2.1,9.11,5.38,6.28,71.4,11.9,83.3
2008,290,47,61.3,16.2,28.45,41.5,-18.95,-40,3.69,2.4,0.6,3,18.5,4.89,7.23,65,16.3,81.3
2007,273,51,58.9,29.85,47.4,40.7,16.4,52.9,2.85,1.5,0.8,2.3,7.71,3.9,5.65,52.6,28.1,80.7
2006,253,51,33,18.5,31,24.3,11.55,59.4,2.82,1.2,0.8,2,10.8,6.06,8.22,42.6,28.4,70.9
2005,234,49,22.8,16.8,19.45,19.9,-2.95,-13.2,2.97,1.2,0.8,2,11.9,8.77,10.1,40.4,26.9,67.3
2004,217,47,27.3,15.2,22.4,20.5,4.3,23.8,1.63,0.65,0.65,1.3,8.55,4.76,6.35,39.9,39.9,79.8
2003,204,38,18.8,10.75,18.1,14.7,4.9,37.1,0.57,0.5,0,0.5,4.65,2.66,3.41,87.7,0,87.7
2002,204,34,15.1,8.8,13.2,11.6,2.55,23.9,0.15,0.2,0,0.2,2.27,1.32,1.72,133,0,133
2001,204,30,20.3,8.7,10.65,12.2,-7.65,-41.8,0.09,0.25,0.25,0.5,5.75,2.46,4.09,278,278,556
2000,204,32,43.3,13.4,18.3,22.3,-9.3,-33.7,1.83,0.6,0.9,1.5,11.2,3.46,6.73,32.8,49.2,82
1999,187,45,33,18.89,27.6,25.9,-2.7,-8.9,1.7,0.3,1.2,1.5,7.94,4.55,5.8,17.6,70.6,88.2
1998,167,-,38.7,25.3,30.3,32.1,-8.2,-21.3,2.63,1,1,2,7.91,5.17,6.24,38,38,76
1997,152,49,56,35.1,38.5,44.7,-11.5,-23,2.29,0.8,0.8,1.6,4.56,2.86,3.58,34.9,34.9,69.9
1996,141,-,56,39,50,48.5,8,19,2.73,1.3,0.7,2,5.13,3.57,4.13,47.6,25.6,73.3
1995,131,53,61.5,35.4,42,48.9,-11,-20.8,3.36,1.5,1,2.5,7.06,4.07,5.11,44.7,29.8,74.4
1994,119,-,69,48,53,55.1,-10.5,-16.5,3.07,2.5,0.8,3.3,6.88,4.78,5.99,81.5,26.1,108
1993,111,-,66,45.8,63.5,54,8,14.4,3.64,2,1,3,6.55,4.55,5.55,55,27.5,82.5
1992,100,-,78.5,50,55.5,63.1,-15.5,-21.8,3.72,2,1,3,6,3.82,4.76,53.7,26.9,80.6
1991,91.3,-,81,44.5,71,68.2,8,12.7,3.01,2,1,3,6.74,3.7,4.4,66.4,33.2,99.6
1990,83,-,-,-,-,-,-,-,-,2,2,4,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,1.5,2,3.5,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,1.1,2.2,3.3,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,1,1.2,2.2,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,1,1.8,2.8,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,1.3,2.3,3.6,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
