年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,547,55,46.6,34.9,43,40.9,7.4,20.8,4.37,3.31,0.7,4.01,11.5,8.6,9.79,75.6,16,91.7
2018,531,53,47.3,32.7,35.6,39.3,-0.85,-2.3,2.03,1.5,1,2.5,7.65,5.29,6.37,73.9,49.3,123
2017,425,43,38.9,33.35,36.45,35.1,1.3,3.7,1.72,1.45,0,1.45,4.35,3.73,4.13,84.3,0,84.3
2016,369,47,38.3,25.45,35.15,33,7.85,28.8,1.56,1.33,0,1.33,5.23,3.47,4.03,85.3,0,85.3
2015,369,45,45.4,26.9,27.3,37.8,-16.1,-37.1,2.93,2.49,0,2.49,9.26,5.48,6.58,85,0,85
2014,369,53,49.8,41.35,43.4,45.7,-2.85,-6.2,2.72,2.3,0,2.3,5.56,4.62,5.03,84.6,0,84.6
2013,369,51,46.95,33.75,46.25,39.8,7.35,18.9,2.09,1.9,0,1.9,5.63,4.05,4.77,90.9,0,90.9
2012,369,47,39.75,31.6,38.9,35.8,3.9,11.1,2.33,1.9,0,1.9,6.01,4.78,5.31,81.5,0,81.5
2011,369,53,49.45,29,35,36.8,2.2,6.7,2.43,2,0,2,6.9,4.04,5.43,82.3,0,82.3
2010,369,51,36.4,24.6,32.8,30.4,-1.2,-3.5,2.26,1.8,0,1.8,7.32,4.95,5.91,79.6,0,79.6
2009,329,51,39.8,21.9,34,32.4,7.05,26.2,1.75,1.32,0,1.32,6.03,3.32,4.07,75.4,0,75.4
2008,329,45,60.7,14.15,26.95,38.5,-18.05,-40.1,2.55,1.9,0.1,2,14.1,3.29,5.2,74.5,3.92,78.4
2007,325,57,57.8,24.9,45,37.8,15.55,52.8,2.2,1.7,0.1,1.8,7.23,3.11,4.77,77.3,4.55,81.8
2006,314,51,31.1,20.85,29.45,25.1,6,25.6,1.97,1.41,0.16,1.56,7.49,5.02,6.22,71.4,7.93,79.3
2005,283,49,24.2,17.5,23.45,20,2.55,12.2,1.59,0.7,0.5,1.2,6.86,4.96,6,44,31.4,75.5
2004,265,40,21.8,13.45,20.9,17.5,4.2,25.1,0.6,0.35,0.35,0.7,5.2,3.21,3.99,58.3,58.3,117
2003,255,38,18,9.85,16.7,13.4,6.25,59.8,0.02,0.1,0.2,0.3,3.05,1.67,2.24,500,1000,1500
2002,249,36,13.9,7.1,10.45,9.99,1.9,22.2,0.05,0,0.2,0.2,2.82,1.44,2,0,400,400
2001,244,36,19.9,7,8.55,10.8,-6.75,-44.1,0.46,0,0.3,0.3,4.29,1.51,2.77,0,65.8,65.8
2000,237,38,55.5,14.3,15.3,26.2,-17.1,-52.8,1.2,0.2,0.8,1,6.99,1.8,3.82,16.7,66.7,83.3
1999,220,-,32.8,18.8,32.4,23.6,4.6,16.5,1.6,0.2,1,1.2,6.38,3.66,5.08,12.5,62.5,75
1998,182,43,40.5,26,27.8,31.9,-10.9,-28.2,1.18,0.5,1,1.5,5.77,3.7,4.7,42.4,84.7,127
1997,165,43,65,31.9,38.7,47.3,-21.3,-35.5,1.16,0.2,1,1.2,3.76,1.85,2.54,17.2,86.2,103
1996,141,40,68,33.5,60,51.9,23,62.2,1.76,0.5,1,1.5,4.48,2.21,2.89,28.4,56.8,85.2
1995,128,45,59,30.7,37,43.5,-15.5,-29.5,2.08,1,1.2,2.2,7.17,3.73,5.06,48.2,57.8,106
1994,114,-,79.5,48,52.5,58.7,-21,-28.6,3.68,2,1.3,3.3,6.88,4.15,5.62,54.3,35.3,89.6
1993,101,-,75,48.5,73.5,56.9,23,45.5,3.25,2,1,3,6.19,4,5.27,61.5,30.7,92.2
1992,92,-,77.5,45,50.5,59.5,-18.5,-26.8,3.57,1.5,1.5,3,6.67,3.87,5.04,42,42,84
1991,80,-,114,60,69,84.1,-8.5,-11,3.13,1.6,1.4,3,5,2.63,3.57,51.1,44.7,95.8
1990,65.3,-,-,-,-,-,-,-,-,1.5,2,3.5,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,2.5,0.5,3,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,2,0.5,2.5,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,1.5,0,1.5,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,1.3,0,1.3,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,1.8,0.4,2.2,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,1.5,1.2,2.7,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1982,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
