年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,172",49,17.05,10.55,16.7,13.2,5.45,48.4,0.58,0.59,0,0.59,5.59,3.46,4.47,102,0,102
2018,"1,242",51,18.65,10.4,11.25,15,-2.95,-20.8,0.79,0.71,0,0.71,6.84,3.82,4.75,90.1,0,90.1
2017,"1,262",51,16.8,11.3,14.2,13.7,2.8,24.6,0.68,0.5,0,0.5,4.42,2.98,3.66,73.5,0,73.5
2016,"1,262",49,13.55,10.8,11.4,12,-0.7,-5.8,1.08,0.57,0,0.57,5.23,4.17,4.7,52.3,0,52.3
2015,"1,276",55,16.1,9.92,12.1,13.1,-2.65,-18,0.97,0.55,0,0.55,5.54,3.41,4.18,56.7,0,56.7
2014,"1,273",53,16.7,11.9,14.75,13.4,2.4,19.4,1.01,0.5,0,0.5,4.2,2.99,3.72,49.5,0,49.5
2013,"1,269",53,15.4,10.9,12.35,12.3,0.65,5.6,0.62,0.41,0,0.41,3.73,2.64,3.3,65.5,0,65.5
2012,"1,295",55,15.75,10,11.7,12.9,-1,-7.9,0.84,0.5,0,0.5,5,3.17,3.88,59.5,0,59.5
2011,"1,308",53,18.3,10.15,12.7,13.8,-3.6,-22.1,1.91,1.11,0,1.11,11,6.07,8.07,58.2,0,58.2
2010,"1,299",68,19.1,12.75,16.3,15.2,-0.9,-5.2,0.31,0.5,0,0.5,3.92,2.62,3.29,161,0,161
2009,"1,299",53,17.2,6.96,17.2,12.8,9.77,132,-1.7,0,0,0,0,0,0,0,0,0
2008,"1,299",49,20.3,6.6,7.43,14.4,-12.72,-63.1,1.09,0.75,0.45,1.2,18.2,5.91,8.34,68.8,41.3,110
2007,"1,321",64,24.7,17,20.15,19.6,-0.1,-0.5,1.81,0.7,0,0.7,4.12,2.83,3.58,38.7,0,38.7
2006,"1,913",68,22.9,17.35,20.25,19.2,1.65,8.9,0.38,0.41,0.1,0.51,2.95,2.23,2.67,108,26.9,135
2005,"1,979",53,25.25,16.35,18.6,20.3,-1.9,-9.3,1.89,0.1,1.03,1.13,6.92,4.48,5.58,5.44,54.5,59.9
2004,"1,779",72,35.2,19.3,20.5,25.3,-8.6,-29.6,0.92,0,0.8,0.8,4.15,2.27,3.16,0,87,87
2003,"1,614",60,32.8,18.8,29.1,24.8,8,37.9,0.48,0,0.4,0.4,2.13,1.22,1.62,0,83.5,83.5
2002,"1,547",-,58,19.7,21.1,37.7,-29.9,-58.6,-0.24,0,1.5,1.5,7.61,2.59,3.98,0,-625,-625
2001,"1,334",43,61.5,23.4,51,44.9,4.1,8.7,4.57,0,1.5,1.5,6.41,2.44,3.34,0,32.8,32.8
2000,"1,147",91,130.5,42.3,46.9,85.5,-65.1,-58.1,1.6,0,2,2,4.73,1.53,2.34,0,125,125
1999,665,66,114,38.2,112,67.4,71.71,178,0.81,0,1.5,1.5,3.93,1.32,2.22,0,185,185
1998,554,-,95,29.7,40.29,52,-23.71,-37,2.25,0,2.9,2.9,9.76,3.05,5.58,0,129,129
1997,413,-,175,38,64,79.3,25,64.1,2.71,0,3,3,7.89,1.71,3.78,0,111,111
1996,288,-,82,33.5,39,47.6,-29,-42.6,10.01,0,9.3,9.3,27.8,11.3,19.6,0,92.9,92.9
1995,129,89,139.5,60,68,100,-57,-45.6,7.55,0.5,5,5.5,9.17,3.94,5.48,6.62,66.2,72.8
1994,86,-,154,75,125,110,31.5,33.7,4.04,0.6,2.5,3.1,4.13,2.01,2.81,14.9,61.9,76.8
1993,60.9,-,93.5,36,93.5,45.8,55.5,146,2.32,1,1.5,2.5,6.94,2.67,5.45,43.2,64.7,108
1992,53,-,48.6,28,38,39.5,-3.4,-8.2,1.53,1.1,2.1,3.2,11.4,6.58,8.11,72,137,209
1991,39.3,-,61.5,18.7,41.4,40.2,17,69.7,-1.93,0,0,0,0,0,0,0,0,0
1990,39.3,-,-,-,-,-,-,-,-,0,2.5,2.5,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,0,2.7,2.7,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,1,2.8,3.8,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,0,3.7,3.7,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,0,1.5,1.5,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,0,3.46,3.46,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
