年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,326,57,79,70.8,72.5,73.8,-3.9,-5.1,2.88,3.75,0,3.75,5.3,4.75,5.08,130,0,130
2018,326,55,79.4,69.8,76.4,74.5,2.9,3.9,3.33,3.75,0,3.75,5.37,4.72,5.03,113,0,113
2017,326,57,79.9,70.2,73.5,73.8,1,1.4,3.5,3.75,0,3.75,5.34,4.69,5.08,107,0,107
2016,326,60,81.9,64.5,72.5,73.1,4.9,7.2,3.52,3.75,0,3.75,5.81,4.58,5.13,107,0,107
2015,326,60,80.5,65,67.6,72.3,-5.4,-7.4,3.52,3.75,0,3.75,5.77,4.66,5.19,107,0,107
2014,326,60,73,57,73,64.2,7.5,11.5,3.61,3.75,0,3.75,6.58,5.14,5.84,104,0,104
2013,326,62,83,59.6,65.5,71,-8.6,-11.6,3.25,3.5,0,3.5,5.87,4.22,4.93,108,0,108
2012,326,70,76.1,53,74.1,66.6,17.2,30.2,2.73,3,0,3,5.66,3.94,4.51,110,0,110
2011,326,68,61.1,41.55,56.9,46.9,14.6,34.5,2.72,2.5,0,2.5,6.02,4.09,5.33,91.9,0,91.9
2010,326,66,45.6,36.9,42.3,40.7,4.15,10.9,2.83,2.8,0,2.8,7.59,6.14,6.88,98.9,0,98.9
2009,326,74,41,31.2,38.15,36.5,0.85,2.3,3.09,2.8,0,2.8,8.97,6.83,7.66,90.6,0,90.6
2008,326,72,54.9,29.25,37.3,43.7,-3.7,-9,3,3.1,0,3.1,10.6,5.65,7.09,103,0,103
2007,403,74,44.5,35.3,41,39.2,4.05,11,3.4,3.1,0,3.1,8.78,6.97,7.9,91.2,0,91.2
2006,387,70,43,34.1,36.95,37.4,-0.2,-0.5,3.8,3.1,0,3.1,9.09,7.21,8.29,81.6,0,81.6
2005,387,70,43.4,35,37.15,39,-1.35,-3.5,3.75,3,0,3,8.57,6.91,7.7,80,0,80
2004,384,-,38.7,25.4,38.5,32.4,13.2,52.2,3.04,1.4,1,2.4,9.45,6.2,7.4,46.1,32.9,78.9
2003,270,-,31.2,21.8,25.3,25.3,-0.5,-1.9,3.39,1.3,1.7,3,13.8,9.62,11.9,38.3,50.1,88.5
2002,231,-,48.4,25.2,25.8,35.9,-22.8,-46.9,3.52,1,2.2,3.2,12.7,6.61,8.92,28.4,62.5,90.9
2001,189,-,52.5,33.1,48.6,44.6,15.5,46.8,3.27,0,3.5,3.5,10.6,6.67,7.84,0,107,107
2000,140,-,-,-,-,-,-,-,1.49,0.22,0.78,1,-,-,-,14.7,52.4,67.1
1999,114,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-
1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
