年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,69.9,66,320,210,298.5,263,88,41.8,9.02,6.8,0,6.8,3.24,2.12,2.58,75.3,0,75.3
2018,69.8,66,239,186.5,210.5,212,0,0,8.84,6.6,0,6.6,3.54,2.76,3.11,74.6,0,74.6
2017,69.7,66,273.5,197,210.5,232,-44,-17.3,8.96,6.3,1,7.3,3.7,2.67,3.14,70.3,11.2,81.4
2016,63.3,68,289.5,194.5,254.5,242,43,20.3,8.08,6,0,6,3.08,2.07,2.48,74.3,0,74.3
2015,63.2,66,278,188,211.5,229,-23,-9.8,7.8,6,0,6,3.19,2.16,2.62,76.9,0,76.9
2014,63,68,283,178,234.5,215,28,13.6,7.26,5.28,0.99,6.27,3.52,2.22,2.92,72.7,13.7,86.4
2013,56.7,68,209.5,117.5,206.5,152,84,68.6,6.22,4.89,0,4.89,4.16,2.33,3.21,78.6,0,78.6
2012,56.4,66,122.5,81.8,122.5,102,38.7,46.2,6.44,4.96,0,4.96,6.07,4.05,4.87,77.1,0,77.1
2011,55.2,66,102,76,83.8,87,1.3,1.6,6.06,3.5,1,4.5,5.92,4.41,5.17,57.8,16.5,74.3
2010,50.2,66,86.2,58.2,82.5,73,10.7,14.9,3.5,4,0,4,6.87,4.64,5.48,114,0,114
2009,51.6,68,76.8,38.75,71.8,52.3,24.3,51.2,5.13,3,0.05,3.05,7.87,3.97,5.83,58.5,0.97,59.5
2008,51.1,68,84.9,34.1,47.5,64.9,-26.4,-35.7,6.11,4,0.5,4.5,13.2,5.3,6.93,65.5,8.18,73.6
2007,49.2,68,120.5,62,73.9,97.2,-43.1,-36.8,6.3,4.01,0.5,4.51,7.27,3.74,4.64,63.6,7.95,71.5
2006,46.4,74,117,82.4,117,93.6,24,25.8,6.05,4,0.2,4.2,5.09,3.59,4.48,66.1,3.3,69.4
2005,44.9,74,98,68,93,77.6,16,20.8,5.91,3.67,0.5,4.16,6.12,4.25,5.37,62.1,8.39,70.5
2004,37.4,72,78.5,57.5,77,68.4,18.5,31.6,3.17,2.48,0.5,2.98,5.18,3.79,4.35,78.2,15.6,93.9
2003,34.1,57,73.5,47.6,58.5,58.3,-4,-6.4,4.32,1.47,1.47,2.93,6.16,3.99,5.03,33.9,33.9,67.9
2002,28.6,68,109,58,62.5,77,-27.5,-30.6,5,1.5,2,3.5,6.03,3.21,4.54,30,40,70
2001,23.3,66,149,53,90,99.9,-15.5,-14.7,5.39,1,3,4,7.55,2.68,4,18.6,55.7,74.2
2000,17.4,62,294,101.5,105.5,187,-111.5,-51.4,5.28,1,3,4,3.94,1.36,2.14,18.9,56.8,75.8
1999,13.1,70,232,128,221,185,93,72.7,8.24,0,6,6,4.69,2.59,3.24,0,72.8,72.8
1998,8.07,-,-,-,-,-,-,-,9.54,0,5,5,-,-,-,0,52.4,52.4
1997,4.75,-,-,-,-,-,-,-,-,0,6,6,-,-,-,-,-,-
1996,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
