年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,260,53,167.5,126,150.5,148,21,16.2,7,5,0,5,3.97,2.99,3.38,71.4,0,71.4
2018,260,51,151,98.3,129.5,122,-14,-9.8,7.08,5,0,5,5.09,3.31,4.1,70.6,0,70.6
2017,260,51,179.5,135,143.5,160,-16,-10,7.24,5,0,5,3.7,2.79,3.13,69.1,0,69.1
2016,260,51,177,124,159.5,154,4,2.6,7.67,5,0,5,4.03,2.82,3.24,65.2,0,65.2
2015,260,53,214,128.5,155.5,172,-33,-17.5,8.49,6.7,0,6.7,5.21,3.13,3.89,78.9,0,78.9
2014,244,60,225,155.5,188.5,187,18.5,10.9,7.32,5.8,0,5.8,3.73,2.58,3.1,79.2,0,79.2
2013,244,60,171.5,102,170,137,63.5,59.6,6.68,5.29,0,5.29,5.19,3.09,3.87,79.2,0,79.2
2012,242,57,114.5,70.3,106.5,94.4,34.5,47.9,4.58,3.49,0,3.49,4.97,3.05,3.7,76.3,0,76.3
2011,240,49,143,63,72,100,-70.5,-49.5,6.69,5.2,0,5.2,8.25,3.63,5.18,77.7,0,77.7
2010,239,62,143.5,90.3,142.5,113,42.5,42.5,5.2,4.2,0,4.2,4.65,2.93,3.73,80.8,0,80.8
2009,226,57,103.5,50.6,100,77.4,36.5,57.5,4.69,3.5,0.2,3.7,7.31,3.57,4.78,74.6,4.26,78.9
2008,219,55,110,56.5,63.5,80.9,-47.5,-42.8,7.15,5.5,0.2,5.7,10.1,5.18,7.04,76.9,2.8,79.7
2007,211,64,135,94.4,111,115,6,5.7,5.76,4.5,0.5,5,5.3,3.7,4.35,78.1,8.68,86.8
2006,197,62,109,62.9,105,88.1,37.7,56,4.26,3,0.5,3.5,5.56,3.21,3.97,70.4,11.7,82.2
2005,183,55,70.7,48.1,67.3,55.1,11.3,20.2,4.2,2.41,0.48,2.89,6.02,4.09,5.25,57.4,11.5,68.9
2004,159,57,56,37.2,56,45.6,12.5,28.7,3.52,2.25,0.5,2.75,7.39,4.91,6.03,63.9,14.2,78.1
2003,148,55,49.9,33.2,43.5,43.1,2.9,7.1,3.08,2,0.5,2.5,7.53,5.01,5.8,64.9,16.2,81.2
2002,139,51,69,38.8,40.6,52.2,-19.9,-32.9,3.01,1.25,1.5,2.75,7.09,3.99,5.27,41.5,49.8,91.4
2001,119,51,127,31.1,60.5,76.8,-43,-41.5,5.46,2.25,2.25,4.5,14.5,3.54,5.86,41.2,41.2,82.4
2000,95.5,55,185,89.5,103.5,133,-32.5,-23.9,5.12,2,2.5,4.5,5.03,2.43,3.4,39.1,48.8,87.9
1999,73.5,47,207,71,136,121,32.5,31.4,4.03,2,2,4,5.63,1.93,3.3,49.6,49.6,99.3
1998,56.1,47,187,77,103.5,120,-26.5,-20.4,5.19,1.5,2,3.5,4.55,1.87,2.92,28.9,38.5,67.4
1997,44.7,57,235,70.5,130,144,58,80.6,4.17,0.5,2,2.5,3.55,1.06,1.73,12,48,60
1996,36.2,51,80,31.7,72,53.1,30,71.4,4.34,0.5,2,2.5,7.89,3.12,4.71,11.5,46.1,57.6
1995,29.8,51,79.5,34,42,53.9,-34.5,-45.1,2.75,0,2,2,5.88,2.52,3.71,0,72.8,72.8
1994,24.6,-,90,51,76.5,66.1,-3.5,-4.4,3.62,0,2,2,3.92,2.22,3.03,0,55.2,55.2
1993,20.3,-,83,36,80,52.1,40.21,101,2.15,0,1.24,1.24,3.45,1.5,2.38,0,57.8,57.8
1992,17.1,-,44.3,29.1,39.79,37.8,0.19,0.5,1.15,0,1,1,3.44,2.26,2.64,0,87.3,87.3
1991,15.2,-,79,24.1,39.6,46.1,6.6,20,1.09,0,1,1,4.15,1.27,2.17,0,91.9,91.9
1990,13.9,-,-,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-
1989,-,-,-,-,-,-,-,-,-,1,2.5,3.5,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,0,5,5,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,0,10,10,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,1,0,1,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,0,2,2,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,0,2.5,2.5,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
