年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,360",53,32.5,25.2,30.55,29.2,4.6,17.7,2.07,1.7,0,1.7,6.75,5.23,5.82,82.1,0,82.1
2018,"1,360",47,27.8,23.7,25.95,26,1.9,7.9,1.89,1.5,0,1.5,6.33,5.4,5.76,79.4,0,79.4
2017,"1,360",50,26.4,22.8,24.05,24.2,1.05,4.6,1.65,1.42,0,1.42,6.23,5.38,5.87,86.1,0,86.1
2016,"1,360",50,26.2,19.05,23,22.8,1.75,8.2,2.35,1.5,0,1.5,7.87,5.73,6.57,63.8,0,63.8
2015,"1,360",53,28.5,20.9,21.25,24.8,-3.2,-13.1,2.43,1.4,0,1.4,6.7,4.91,5.64,57.6,0,57.6
2014,"1,245",56,27,22.6,24.45,24.6,-0.65,-2.6,1.96,1.11,0,1.11,4.91,4.11,4.51,56.6,0,56.6
2013,"1,245",56,25.9,22,25.1,24,2.5,11.1,1.88,1.1,0,1.1,5,4.25,4.57,58.5,0,58.5
2012,"1,145",53,24.5,18.95,22.6,21.9,2.4,11.9,1.57,0.85,0.15,1,5.28,4.08,4.56,54.1,9.55,63.7
2011,"1,128",53,29.55,17.6,20.2,23.1,-2.25,-10,1.37,0.9,0.2,1.1,6.25,3.72,4.77,65.7,14.6,80.3
2010,"1,106",50,22.8,16,22.45,19.2,3.95,21.4,1.3,1,0,1,6.25,4.39,5.22,76.9,0,76.9
2009,"1,106",53,21.6,8.6,18.5,15.6,7.05,61.6,0.02,0.25,0,0.25,2.91,1.16,1.6,1250,0,1250
2008,"1,106",41,27.5,7.82,11.45,19,-8.5,-42.6,1.55,1.25,0,1.25,16,4.55,6.59,80.6,0,80.6
2007,"1,106",47,24.7,19,19.95,21.2,-4,-16.7,1.45,1.5,0,1.5,7.89,6.07,7.07,103,0,103
2006,"1,117",47,25.8,20.65,23.95,23.1,2.6,12.2,2.09,1.55,0,1.55,7.51,6.01,6.7,74.2,0,74.2
2005,"1,137",55,23.2,18.6,21.35,21.2,-0.55,-2.5,2.22,1.53,0,1.53,8.23,6.6,7.24,69,0,69
2004,"1,137",57,25.9,18.2,21.9,21.9,1.5,7.4,1.84,1.54,0,1.54,8.44,5.93,7.02,83.5,0,83.5
2003,"1,140",55,21.7,15.3,20.4,17.7,3.6,21.4,1.06,0.4,0.4,0.8,5.23,3.69,4.52,37.7,37.7,75.5
2002,"1,105",41,24.6,13.95,16.8,18.7,-4.5,-21.1,-,0,1.04,1.04,7.45,4.22,5.55,-,-,-
2001,-,-,34,16.1,21.3,23,-4.7,-18.1,-,-,-,-,-,-,-,-,-,-
2000,-,-,62,19.4,26,36.7,-17.5,-40.2,-,-,-,-,-,-,-,-,-,-
1999,-,-,62,27.8,43.5,42.7,6.9,18.9,-,-,-,-,-,-,-,-,-,-
1998,-,-,76.5,34.5,36.6,52.4,-31.9,-46.6,-,-,-,-,-,-,-,-,-,-
1997,-,-,105,59,68.5,76.4,-12.5,-15.4,-,-,-,-,-,-,-,-,-,-
1996,-,-,95,58.5,81,76.7,22.5,38.5,-,-,-,-,-,-,-,-,-,-
