年度,股本,財報,年度股價(元),,,,,,去年,股利政策(元),,,殖利率(%),,,盈餘分配率(%),,
,(億),評分,,,,,,,EPS,,,,,,,,,
,,,最高,最低,收盤,平均,漲跌,漲跌,(元),現金,股票,合計,最高,最低,平均,配息,配股,合計
,,,,,,,,(%),,,,,,,,,,
19Q3,"1,162",53,28.3,20,27.75,25.2,7.65,38.1,1.58,0.71,0.71,1.42,7.1,5.02,5.65,44.9,45,89.9
2018,"1,083",53,22.75,18.4,20.1,20.8,1.2,6.3,1.49,0.61,0.61,1.23,6.66,5.39,5.9,41.1,41.1,82.2
2017,"1,019",53,19.75,17.7,18.9,18.5,0.55,3,1.5,0.49,0.74,1.23,6.96,6.24,6.64,32.7,49.4,82.1
2016,877,53,19.9,15.85,18.35,18,-0.8,-4.2,1.63,0.43,1,1.43,9.02,7.19,7.95,26.4,61.3,87.7
2015,795,53,22.15,17.95,19.15,19.8,-0.5,-2.5,1.56,0.43,0.87,1.3,7.26,5.89,6.59,27.9,55.7,83.6
2014,705,53,20.8,17.9,19.65,19.1,-0.15,-0.8,1.53,0.28,0.89,1.17,6.53,5.62,6.1,18.1,58.3,76.3
2013,552,50,20.6,15.8,19.8,18.6,3.55,21.8,1.46,0.3,1,1.3,8.23,6.31,7,20.5,68.5,89
2012,501,47,17.6,12.7,16.25,15.6,3.2,24.5,0.82,0.2,0.5,0.7,5.51,3.98,4.49,24.4,61,85.4
2011,458,38,21.85,11.95,13.05,17.7,-7,-34.9,1.04,0.2,0.7,0.9,7.53,4.12,5.09,19.2,67.3,86.5
2010,380,38,20.5,10.65,20.05,14.5,6.7,50.2,0.53,0.2,0.4,0.6,5.6,2.91,4.12,37.5,75,113
2009,365,41,15,7.1,13.35,10.8,4.62,52.9,0.3,0,0.3,0.3,4.23,2,2.78,0,100,100
2008,354,38,19.45,6.23,8.73,13.9,-8.12,-48.2,1,0.4,0.4,0.8,12.8,4.11,5.75,40,40,80
2007,330,41,23.2,16.1,16.85,18.7,-5.75,-25.4,0.13,0,0,0,0,0,0,0,0,0
2006,330,38,24.2,18.65,22.6,21,1.75,8.4,1.54,1,0.2,1.2,6.43,4.96,5.7,64.9,13,77.9
2005,303,50,27.6,19.5,20.85,23.7,-5.55,-21,1.94,1.1,0.3,1.4,7.18,5.07,5.9,56.7,15.5,72.2
2004,293,57,26.5,18.5,26.4,21.9,5.9,28.8,2.13,1.09,0.33,1.41,7.63,5.33,6.45,51,15.3,66.3
2003,251,59,21.6,14.55,20.5,17.2,5.3,34.9,-1.46,0,0,0,0,0,0,0,0,0
2002,212,25,16,10.6,15.2,12.8,1.75,13,-,0,0.8,0.8,7.55,5,6.23,-,-,-
2001,-,-,15.2,9.75,13.45,12.4,2.7,25.1,-,-,-,-,-,-,-,-,-,-
2000,-,-,19.2,8.4,10.75,12.5,-1.6,-13,-,-,-,-,-,-,-,-,-,-
1999,-,-,22.4,11.25,12.35,15.5,-1.55,-11.2,-,-,-,-,-,-,-,-,-,-
1998,-,-,27,13.45,13.9,19,-13.3,-48.9,-,-,-,-,-,-,-,-,-,-
1997,-,-,33.9,20.8,27.2,26.2,-2.4,-8.1,-,-,-,-,-,-,-,-,-,-
1996,-,-,31.5,14.1,29.6,23.4,15.35,108,-,-,-,-,-,-,-,-,-,-
1995,-,-,14.3,13.5,14.25,14,0.15,1.1,-,-,-,-,-,-,-,-,-,-
